OverallQual,GrLivArea,TotalBsmtSF,2ndFlrSF,BsmtFinSF1,1stFlrSF,GarageCars,GarageArea,LotArea,TotRmsAbvGrd,Age,Neighborhood,YearRemodAdd,MasVnrArea,BsmtUnfSF,FullBath,LotFrontage,WoodDeckSF,GarageYrBlt,GarageType
5,896,882.0,0,468.0,896,1.0,730.0,11622,5,49,NAmes,1961,0.0,270.0,1,80.0,140,1961.0,Attchd
6,1329,1329.0,0,923.0,1329,1.0,312.0,14267,6,52,NAmes,1958,108.0,406.0,1,81.0,393,1958.0,Attchd
5,1629,928.0,701,791.0,928,2.0,482.0,13830,6,13,Gilbert,1998,0.0,137.0,2,74.0,212,1997.0,Attchd
6,1604,926.0,678,602.0,926,2.0,470.0,9978,7,12,Gilbert,1998,20.0,324.0,2,78.0,360,1998.0,Attchd
8,1280,1280.0,0,263.0,1280,2.0,506.0,5005,5,18,StoneBr,1992,0.0,1017.0,2,43.0,0,1992.0,Attchd
6,1655,763.0,892,0.0,763,2.0,440.0,10000,7,17,Gilbert,1994,0.0,763.0,2,75.0,157,1993.0,Attchd
6,1187,1168.0,0,935.0,1187,2.0,420.0,7980,6,18,Gilbert,2007,0.0,233.0,2,67.0,483,1992.0,Attchd
6,1465,789.0,676,0.0,789,2.0,393.0,8402,7,12,Gilbert,1998,0.0,789.0,2,63.0,0,1998.0,Attchd
7,1341,1300.0,0,637.0,1341,2.0,506.0,10176,5,20,Gilbert,1990,0.0,663.0,1,85.0,192,1990.0,Attchd
4,882,882.0,0,804.0,882,2.0,525.0,8400,4,40,NAmes,1970,0.0,0.0,1,70.0,240,1970.0,Attchd
7,1337,1405.0,0,1051.0,1337,2.0,511.0,5858,5,11,NAmes,1999,0.0,354.0,2,26.0,203,1999.0,Attchd
6,987,483.0,504,156.0,483,1.0,264.0,1680,5,39,BrDale,1971,504.0,327.0,1,21.0,275,1971.0,Detchd
5,1092,525.0,567,300.0,525,1.0,320.0,1680,6,39,BrDale,1971,492.0,225.0,1,21.0,0,1997.0,Detchd
6,1456,855.0,601,514.0,855,2.0,440.0,2280,6,35,NPkVill,1975,0.0,341.0,2,24.0,173,1975.0,Attchd
7,836,836.0,0,0.0,836,1.0,308.0,2280,4,35,NPkVill,1975,0.0,836.0,1,24.0,0,1975.0,Attchd
9,2334,1590.0,707,0.0,1627,3.0,751.0,12858,10,1,NridgHt,2010,162.0,1590.0,2,102.0,144,2009.0,Attchd
8,1544,1544.0,0,0.0,1544,3.0,868.0,12883,7,1,NridgHt,2010,256.0,1544.0,2,94.0,0,2009.0,Attchd
9,1698,1698.0,0,110.0,1698,3.0,730.0,11520,7,5,NridgHt,2005,615.0,1588.0,2,90.0,192,2005.0,Attchd
8,1822,1822.0,0,28.0,1822,3.0,678.0,14122,8,5,NridgHt,2006,240.0,1794.0,2,79.0,0,2005.0,Attchd
9,2696,2846.0,0,1373.0,2696,3.0,958.0,14300,10,7,NridgHt,2004,1095.0,1473.0,2,110.0,220,2003.0,Attchd
8,2250,1671.0,563,578.0,1687,3.0,756.0,13650,7,8,NridgHt,2002,232.0,1093.0,2,105.0,238,2002.0,Attchd
8,1370,1370.0,0,24.0,1370,2.0,484.0,7132,6,4,NridgHt,2006,178.0,1346.0,2,41.0,120,2006.0,Attchd
6,1324,1324.0,0,0.0,1324,2.0,430.0,18494,6,5,Gilbert,2005,0.0,1324.0,2,100.0,36,2005.0,Attchd
7,1145,1145.0,0,16.0,1145,2.0,437.0,3203,6,4,Blmngtn,2006,14.0,1129.0,2,43.0,100,2006.0,Attchd
7,1374,384.0,630,326.0,744,2.0,400.0,13300,7,6,Gilbert,2004,0.0,58.0,2,67.0,100,2004.0,BuiltIn
7,1733,847.0,886,0.0,847,2.0,433.0,8577,7,6,Gilbert,2004,0.0,847.0,2,63.0,144,2004.0,BuiltIn
8,2475,1629.0,830,0.0,1645,3.0,962.0,17433,7,12,NoRidge,1998,114.0,1629.0,2,60.0,23,1998.0,Attchd
8,1595,1595.0,0,0.0,1595,3.0,880.0,8987,6,5,Somerst,2006,226.0,1595.0,2,73.0,144,2005.0,Attchd
7,1218,1218.0,0,0.0,1218,2.0,676.0,9215,4,1,Somerst,2010,0.0,1218.0,2,92.0,0,2009.0,Attchd
6,1468,1468.0,0,1414.0,1468,2.0,528.0,10440,6,5,Somerst,2005,0.0,54.0,2,84.0,0,2005.0,Attchd
7,1659,831.0,828,0.0,831,2.0,484.0,11920,8,6,SawyerW,2004,122.0,831.0,2,70.0,144,2004.0,Attchd
5,1012,816.0,0,0.0,1012,1.0,429.0,9800,5,90,SawyerW,1950,0.0,816.0,1,70.0,121,1920.0,Detchd
6,1494,1208.0,0,126.0,1494,2.0,461.0,15410,7,36,Sawyer,2002,250.0,223.0,2,39.0,296,1974.0,Attchd
8,2349,1231.0,1098,250.0,1251,3.0,762.0,13143,9,17,NoRidge,1993,504.0,0.0,2,85.0,32,1993.0,Attchd
8,2225,1390.0,823,1129.0,1402,3.0,713.0,11134,7,18,NoRidge,1993,180.0,261.0,2,88.0,198,1992.0,Attchd
7,1488,1488.0,0,1298.0,1488,2.0,506.0,4835,6,6,Somerst,2005,0.0,190.0,2,25.0,168,2004.0,Attchd
7,1680,840.0,840,0.0,840,2.0,588.0,3515,3,6,Somerst,2004,0.0,840.0,2,39.0,0,2004.0,Attchd
7,1200,600.0,600,280.0,600,2.0,480.0,3215,4,6,Somerst,2004,120.0,320.0,2,30.0,0,2004.0,Detchd
7,1200,600.0,600,368.0,600,2.0,480.0,2544,4,6,Somerst,2005,0.0,190.0,2,24.0,0,2004.0,Detchd
6,1236,600.0,636,376.0,600,2.0,480.0,2544,4,5,Somerst,2005,216.0,224.0,2,24.0,0,2005.0,Detchd
6,1512,756.0,756,466.0,756,2.0,440.0,2980,5,10,Somerst,2000,1159.0,290.0,2,67.0,0,2000.0,Detchd
7,1080,530.0,550,244.0,530,2.0,496.0,2403,4,7,Somerst,2003,0.0,286.0,2,67.0,0,2003.0,Attchd
8,1418,1642.0,0,1032.0,1418,3.0,852.0,12853,6,0,Somerst,2010,0.0,610.0,1,57.0,160,2010.0,Attchd
8,1848,975.0,873,484.0,975,2.0,592.0,7379,7,10,Somerst,2000,0.0,491.0,2,68.0,280,2000.0,Attchd
7,1492,1492.0,0,833.0,1492,2.0,596.0,8000,6,8,Somerst,2002,0.0,659.0,2,80.0,277,2002.0,Attchd
6,1829,1829.0,0,506.0,1829,2.0,535.0,10456,8,43,NWAmes,1967,120.0,1323.0,2,67.0,0,1967.0,Attchd
6,2495,1280.0,1215,1137.0,1280,2.0,660.0,10791,9,17,NWAmes,1993,0.0,143.0,2,80.0,224,1993.0,Attchd
6,1891,1224.0,604,687.0,1287,2.0,678.0,18837,7,32,NWAmes,1978,0.0,491.0,3,67.0,0,1978.0,Attchd
6,1645,715.0,715,329.0,930,2.0,441.0,9600,7,39,NWAmes,1971,0.0,386.0,1,80.0,0,1971.0,Attchd
5,1232,1232.0,0,698.0,1232,2.0,490.0,9600,6,44,NAmes,1966,172.0,534.0,1,80.0,0,1966.0,Attchd
5,1209,1209.0,0,1059.0,1209,2.0,504.0,9900,6,44,NAmes,1966,0.0,150.0,1,90.0,0,1966.0,Attchd
5,1510,1510.0,0,1010.0,1510,2.0,517.0,9680,6,43,NAmes,1967,268.0,500.0,2,88.0,0,1967.0,Attchd
6,1775,533.0,644,0.0,1131,2.0,480.0,10600,8,46,NAmes,1964,0.0,533.0,2,67.0,0,1964.0,Attchd
5,1728,1728.0,0,1500.0,1728,0.0,0.0,13260,10,48,NAmes,2001,144.0,228.0,2,98.0,0,1979.0,missing
5,2461,1140.0,532,670.0,1929,2.0,400.0,9724,7,58,NAmes,2002,265.0,470.0,2,68.0,0,1994.0,Detchd
6,1556,782.0,537,300.0,1019,2.0,470.0,17360,6,61,NAmes,1950,340.0,482.0,2,120.0,0,1949.0,Attchd
6,1128,1080.0,0,944.0,1128,1.0,315.0,11380,5,44,NAmes,2008,216.0,136.0,1,75.0,238,1966.0,Attchd
5,1604,1604.0,0,0.0,1604,2.0,576.0,8267,8,52,NAmes,1958,0.0,1604.0,2,70.0,42,1958.0,Attchd
7,1480,1480.0,0,1188.0,1480,2.0,620.0,8197,7,7,NAmes,2009,506.0,292.0,2,70.0,252,2003.0,Attchd
5,1143,1143.0,0,856.0,1143,1.0,308.0,8050,6,51,NAmes,1959,150.0,125.0,1,67.0,0,1959.0,Attchd
5,1206,1206.0,0,936.0,1206,1.0,312.0,10725,6,51,NAmes,1959,91.0,270.0,1,87.0,0,1959.0,Attchd
6,1580,1244.0,0,734.0,1580,2.0,440.0,10032,6,51,NAmes,1959,432.0,510.0,1,80.0,0,1956.0,Attchd
4,1337,832.0,505,0.0,832,1.0,263.0,8382,5,54,NAmes,1956,0.0,832.0,1,60.0,0,1956.0,Attchd
5,1064,864.0,0,339.0,1064,1.0,318.0,10950,4,58,NAmes,1952,0.0,525.0,1,60.0,0,1952.0,Detchd
5,972,972.0,0,648.0,972,1.0,305.0,10895,5,55,NAmes,1955,0.0,324.0,1,119.0,0,1955.0,Attchd
5,988,988.0,0,532.0,988,1.0,264.0,13587,5,52,NAmes,1958,0.0,456.0,1,70.0,0,1958.0,Attchd
4,985,576.0,0,0.0,985,2.0,676.0,7898,4,90,NAmes,1994,0.0,576.0,1,65.0,0,1989.0,Detchd
6,1224,816.0,408,481.0,816,1.0,280.0,8064,5,62,NAmes,2004,0.0,161.0,1,60.0,414,1950.0,Detchd
5,1175,1175.0,0,588.0,1175,2.0,484.0,7635,6,50,NAmes,1960,0.0,237.0,1,81.0,0,1960.0,Detchd
6,1395,1395.0,0,717.0,1395,2.0,440.0,9760,7,47,NAmes,1984,218.0,415.0,1,80.0,657,1963.0,Attchd
4,1844,709.0,687,48.0,1157,1.0,240.0,4800,9,110,OldTown,1954,771.0,661.0,1,60.0,84,1900.0,Basment
5,936,936.0,0,579.0,936,0.0,0.0,4485,5,90,OldTown,1950,0.0,357.0,1,56.0,51,1979.0,missing
5,1347,1347.0,0,274.0,1347,2.0,551.0,5805,6,53,OldTown,1957,0.0,0.0,1,69.0,0,1957.0,Detchd
6,1251,827.0,424,0.0,827,1.0,240.0,6900,6,72,OldTown,2000,0.0,827.0,1,50.0,0,1938.0,Detchd
5,1633,1027.0,606,780.0,1027,1.0,240.0,11851,7,62,OldTown,2009,0.0,247.0,1,69.0,0,1948.0,Detchd
5,1245,1008.0,185,176.0,1060,1.0,315.0,8239,6,90,OldTown,1962,0.0,832.0,1,67.0,0,1962.0,Detchd
2,832,678.0,0,0.0,832,2.0,780.0,9656,5,87,OldTown,1970,0.0,678.0,1,68.0,0,1928.0,Detchd
8,1566,930.0,636,0.0,930,1.0,288.0,9600,7,110,OldTown,2003,0.0,930.0,2,60.0,54,1930.0,Detchd
8,2268,346.0,1111,0.0,1157,2.0,624.0,9000,7,120,OldTown,2002,0.0,346.0,3,50.0,0,2003.0,Detchd
5,2256,840.0,1128,0.0,1128,0.0,0.0,9045,12,100,OldTown,1950,0.0,840.0,2,100.0,0,1979.0,missing
6,1470,738.0,602,283.0,868,2.0,624.0,10560,6,88,OldTown,1994,0.0,455.0,1,60.0,0,1970.0,Detchd
5,1612,988.0,582,788.0,1030,1.0,363.0,5830,7,60,BrkSide,1997,0.0,200.0,1,53.0,0,1950.0,Detchd
7,2068,1108.0,908,474.0,1160,1.0,315.0,7793,8,88,BrkSide,2005,0.0,634.0,1,67.0,0,1928.0,Detchd
4,765,765.0,0,188.0,765,1.0,200.0,5000,4,85,BrkSide,1950,0.0,577.0,1,50.0,135,1926.0,Detchd
6,1132,608.0,524,452.0,608,1.0,240.0,6000,5,71,BrkSide,1950,0.0,144.0,1,50.0,0,1939.0,Detchd
6,1196,572.0,348,264.0,848,2.0,576.0,6000,6,70,BrkSide,1950,0.0,308.0,1,50.0,0,1973.0,Detchd
5,1453,835.0,498,360.0,955,1.0,240.0,6360,7,68,BrkSide,1950,300.0,316.0,1,53.0,0,1942.0,Detchd
6,1416,780.0,636,300.0,780,1.0,312.0,6000,6,62,BrkSide,1950,0.0,480.0,1,50.0,221,1948.0,Detchd
5,1040,528.0,492,276.0,548,2.0,624.0,6240,5,74,BrkSide,1980,0.0,252.0,1,52.0,306,1979.0,Detchd
5,1536,928.0,608,448.0,928,2.0,480.0,6240,7,80,BrkSide,1950,0.0,480.0,2,52.0,0,1930.0,Detchd
6,1068,1124.0,0,960.0,1068,1.0,288.0,6120,5,87,OldTown,1950,0.0,164.0,1,51.0,0,1923.0,Detchd
4,1962,888.0,1074,0.0,888,2.0,572.0,8094,9,95,OldTown,1950,0.0,888.0,1,57.0,160,1915.0,Detchd
6,1560,780.0,780,0.0,780,0.0,0.0,12900,7,98,OldTown,2009,0.0,780.0,1,60.0,344,1979.0,missing
6,1324,662.0,662,0.0,662,1.0,180.0,3068,6,90,OldTown,1993,0.0,662.0,1,52.0,0,1920.0,Detchd
5,1675,1422.0,0,766.0,1675,1.0,365.0,15263,8,51,ClearCr,1959,90.0,656.0,2,100.0,0,1959.0,Attchd
5,1224,689.0,499,0.0,725,1.0,180.0,10632,6,93,ClearCr,1950,0.0,689.0,1,72.0,0,1917.0,Detchd
5,1392,1212.0,180,1026.0,1212,0.0,0.0,9900,6,95,SWISU,1950,0.0,186.0,1,60.0,0,1979.0,missing
6,919,600.0,319,368.0,600,1.0,231.0,6001,5,70,SWISU,1950,0.0,232.0,1,65.0,0,1940.0,Detchd
4,1884,707.0,942,73.0,942,0.0,0.0,6449,7,103,SWISU,1950,0.0,634.0,1,67.0,0,1979.0,missing
5,1680,856.0,744,736.0,936,2.0,450.0,6048,7,100,SWISU,1950,0.0,120.0,2,60.0,56,1910.0,Detchd
4,1832,1832.0,0,704.0,1832,0.0,0.0,10773,8,43,Sawyer,1967,72.0,1128.0,2,72.0,0,1979.0,missing
5,892,864.0,0,240.0,892,1.0,416.0,7800,5,44,Sawyer,2008,47.0,150.0,1,65.0,0,1966.0,Detchd
5,864,864.0,0,775.0,864,1.0,280.0,7832,4,42,Sawyer,1968,0.0,89.0,1,65.0,226,1969.0,Detchd
5,1373,1319.0,0,1319.0,1373,2.0,591.0,7424,5,32,Sawyer,1978,0.0,0.0,1,67.0,0,1978.0,Attchd
5,1440,720.0,720,267.0,720,2.0,480.0,11227,7,42,Sawyer,1968,0.0,0.0,1,86.0,192,1968.0,Attchd
7,1483,1420.0,0,1092.0,1483,2.0,690.0,20062,4,33,ClearCr,2001,0.0,328.0,1,67.0,496,1977.0,Attchd
4,756,660.0,0,0.0,756,2.0,440.0,9259,4,83,Sawyer,1950,0.0,660.0,1,94.0,80,1945.0,Detchd
6,1981,1117.0,864,964.0,1117,2.0,522.0,17082,8,32,ClearCr,1992,288.0,153.0,2,67.0,336,1978.0,Attchd
3,1610,972.0,558,288.0,1052,1.0,480.0,18600,8,72,Edwards,1990,0.0,0.0,2,124.0,0,1938.0,Attchd
6,1074,663.0,0,104.0,1074,1.0,467.0,11479,6,60,Edwards,1987,0.0,172.0,1,65.0,0,1987.0,Attchd
4,1531,756.0,0,192.0,1169,1.0,209.0,9350,8,63,Edwards,1979,0.0,564.0,1,50.0,0,1947.0,Detchd
5,1172,1172.0,0,954.0,1172,1.0,366.0,9525,5,56,Edwards,1998,0.0,218.0,1,75.0,240,1954.0,Attchd
7,1508,1508.0,0,1346.0,1508,2.0,572.0,17485,5,1,Edwards,2010,96.0,162.0,1,44.0,0,2009.0,Attchd
5,1298,1250.0,0,0.0,1298,2.0,504.0,11200,5,46,Edwards,1964,0.0,1250.0,2,67.0,0,1964.0,Detchd
7,1433,1433.0,0,1433.0,1433,2.0,528.0,11980,4,23,SawyerW,1987,177.0,0.0,1,83.0,0,1987.0,Attchd
6,1802,946.0,838,860.0,964,4.0,1017.0,12361,8,17,SawyerW,1993,85.0,86.0,2,87.0,450,2000.0,2Types
7,1222,1222.0,0,24.0,1222,2.0,615.0,7360,6,0,CollgCr,2010,80.0,1198.0,2,64.0,0,2009.0,Attchd
6,1445,676.0,614,0.0,831,2.0,484.0,14235,6,110,SawyerW,1993,0.0,676.0,2,82.0,0,1957.0,Detchd
5,965,870.0,0,870.0,965,2.0,580.0,11105,4,14,CollgCr,1996,0.0,0.0,1,82.0,71,1998.0,Attchd
7,1692,878.0,800,353.0,892,2.0,513.0,9337,8,13,CollgCr,1998,0.0,525.0,2,67.0,0,1997.0,Attchd
5,1026,1026.0,0,198.0,1026,1.0,308.0,15240,5,33,CollgCr,2004,0.0,140.0,1,38.0,316,1977.0,Attchd
5,876,876.0,0,480.0,876,2.0,484.0,7480,5,38,CollgCr,1972,0.0,396.0,1,68.0,0,1977.0,Detchd
