OverallQual,GrLivArea,TotalBsmtSF,2ndFlrSF,BsmtFinSF1,1stFlrSF,GarageCars,GarageArea,LotArea,TotRmsAbvGrd,Age,Neighborhood,YearRemodAdd,MasVnrArea,BsmtUnfSF,FullBath,LotFrontage,WoodDeckSF,GarageYrBlt,GarageType
7,1710,856,854,706,856,2,548,8450,8,5,CollgCr,2003,196.0,150,2,65.0,0,2003.0,Attchd
6,1262,1262,0,978,1262,2,460,9600,6,31,Veenker,1976,0.0,284,2,80.0,298,1976.0,Attchd
7,1786,920,866,486,920,2,608,11250,6,7,CollgCr,2002,162.0,434,2,68.0,0,2001.0,Attchd
7,1717,756,756,216,961,3,642,9550,7,91,Crawfor,1970,0.0,540,1,60.0,0,1998.0,Detchd
8,2198,1145,1053,655,1145,3,836,14260,9,8,NoRidge,2000,350.0,490,2,84.0,192,2000.0,Attchd
5,1362,796,566,732,796,2,480,14115,5,16,Mitchel,1995,0.0,64,1,85.0,40,1993.0,Attchd
8,1694,1686,0,1369,1694,2,636,10084,7,3,Somerst,2005,186.0,317,2,75.0,255,2004.0,Attchd
7,2090,1107,983,859,1107,2,484,10382,7,36,NWAmes,1973,240.0,216,2,69.0,235,1973.0,Attchd
7,1774,952,752,0,1022,2,468,6120,8,77,OldTown,1950,0.0,952,2,51.0,90,1931.0,Detchd
5,1077,991,0,851,1077,1,205,7420,5,69,BrkSide,1950,0.0,140,1,50.0,0,1939.0,Attchd
5,1040,1040,0,906,1040,1,384,11200,5,43,Sawyer,1965,0.0,134,1,70.0,0,1965.0,Detchd
9,2324,1175,1142,998,1182,3,736,11924,11,1,NridgHt,2006,286.0,177,3,85.0,147,2005.0,BuiltIn
5,912,912,0,737,912,1,352,12968,4,46,Sawyer,1962,0.0,175,1,69.0,140,1962.0,Detchd
7,1494,1494,0,0,1494,3,840,10652,7,1,CollgCr,2007,306.0,1494,2,91.0,160,2006.0,Attchd
6,1253,1253,0,733,1253,1,352,10920,5,48,NAmes,1960,212.0,520,1,69.0,0,1960.0,Attchd
7,854,832,0,0,854,2,576,6120,5,78,BrkSide,2001,0.0,832,1,51.0,48,1991.0,Detchd
6,1004,1004,0,578,1004,2,480,11241,5,40,NAmes,1970,180.0,426,1,69.0,0,1970.0,Attchd
4,1296,0,0,0,1296,2,516,10791,6,39,Sawyer,1967,0.0,0,2,72.0,0,1967.0,CarPort
5,1114,1114,0,646,1114,2,576,13695,6,4,SawyerW,2004,0.0,468,1,66.0,0,2004.0,Detchd
5,1339,1029,0,504,1339,1,294,7560,6,51,NAmes,1965,0.0,525,1,70.0,0,1958.0,Attchd
8,2376,1158,1218,0,1158,3,853,14215,9,1,NridgHt,2006,380.0,1158,3,101.0,240,2005.0,BuiltIn
7,1108,637,0,0,1108,1,280,7449,6,77,IDOTRR,1950,0.0,637,1,57.0,0,1930.0,Attchd
8,1795,1777,0,0,1795,2,534,9742,7,6,CollgCr,2002,281.0,1777,2,75.0,171,2002.0,Attchd
5,1060,1040,0,840,1060,2,572,4224,6,31,MeadowV,1976,0.0,200,1,44.0,100,1976.0,Attchd
5,1060,1060,0,188,1060,1,270,8246,6,42,Sawyer,2001,0.0,204,1,69.0,406,1968.0,Attchd
8,1600,1566,0,0,1600,3,890,14230,7,2,NridgHt,2007,640.0,1566,2,110.0,0,2007.0,Attchd
5,900,900,0,234,900,2,576,7200,5,59,NAmes,2000,0.0,180,1,60.0,222,2005.0,Detchd
8,1704,1704,0,1218,1704,3,772,11478,7,3,NridgHt,2008,200.0,486,2,98.0,0,2008.0,Attchd
5,1600,1484,0,1277,1600,1,319,16321,6,49,NAmes,1997,0.0,207,1,47.0,288,1957.0,Attchd
4,520,520,0,0,520,1,240,6324,4,81,BrkSide,1950,0.0,520,1,60.0,49,1920.0,Detchd
4,1317,649,668,0,649,1,250,8500,6,88,IDOTRR,1950,0.0,649,1,50.0,0,1920.0,Detchd
5,1228,1228,0,0,1228,1,271,8544,6,42,Sawyer,2006,0.0,1228,1,69.0,0,1966.0,Attchd
8,1234,1234,0,0,1234,2,484,11049,7,1,CollgCr,2007,0.0,1234,2,85.0,0,2007.0,Attchd
5,1700,1398,0,1018,1700,2,447,10552,6,51,NAmes,1959,0.0,380,1,70.0,0,1959.0,Attchd
9,1561,1561,0,1153,1561,2,556,7313,6,2,NridgHt,2005,246.0,408,2,60.0,203,2005.0,Attchd
8,2452,1117,1320,0,1132,3,691,13418,9,2,NridgHt,2005,132.0,1117,3,108.0,113,2004.0,BuiltIn
5,1097,1097,0,0,1097,2,672,10859,6,15,CollgCr,1995,0.0,1097,1,112.0,392,1995.0,Attchd
5,1297,1297,0,1213,1297,2,498,8532,5,55,NAmes,1990,650.0,84,1,74.0,0,1954.0,Attchd
5,1057,1057,0,731,1057,1,246,7922,5,57,NAmes,2007,0.0,326,1,68.0,0,1953.0,Detchd
4,1152,0,0,0,1152,0,0,6040,6,53,Edwards,1955,0.0,0,2,65.0,0,1980.0,missing
6,1324,1088,0,643,1324,2,440,8658,6,41,NAmes,1965,101.0,445,2,84.0,0,1965.0,Attchd
5,1328,1350,0,967,1328,1,308,16905,5,48,Timber,1959,0.0,383,1,115.0,0,1959.0,Attchd
5,884,840,0,747,884,2,504,9180,5,24,SawyerW,1983,0.0,0,1,69.0,240,1983.0,Attchd
5,938,938,0,280,938,1,308,9200,5,33,CollgCr,1980,0.0,167,1,69.0,145,1977.0,Detchd
5,1150,1150,0,179,1150,1,300,7945,6,47,NAmes,1959,0.0,465,1,70.0,0,1959.0,Attchd
9,1752,1752,0,456,1752,2,576,7658,6,5,NridgHt,2005,412.0,1296,2,61.0,196,2005.0,Attchd
7,2149,1434,631,1351,1518,2,670,12822,6,6,Mitchel,2003,0.0,83,1,48.0,168,2003.0,Attchd
8,1656,1656,0,24,1656,3,826,11096,7,1,Somerst,2006,0.0,1632,2,84.0,0,2006.0,Attchd
4,1452,736,716,0,736,0,0,4456,8,89,OldTown,2008,0.0,736,2,33.0,0,1980.0,missing
5,955,955,0,763,955,1,386,7742,6,41,Sawyer,1966,0.0,192,1,66.0,0,1966.0,Attchd
6,1470,794,676,182,794,2,388,13869,6,10,Gilbert,1997,0.0,612,2,69.0,0,1997.0,Attchd
6,1176,816,0,0,816,2,528,6240,6,72,BrkSide,1950,0.0,816,1,52.0,112,1985.0,Detchd
5,816,816,0,104,816,2,516,8472,5,47,IDOTRR,1963,0.0,0,1,110.0,106,1963.0,CarPort
9,1842,1842,0,1810,1842,3,894,50271,5,25,Veenker,1987,0.0,32,0,68.0,857,1981.0,Attchd
5,1360,384,0,384,1360,2,572,7134,6,52,NAmes,1955,0.0,0,1,60.0,0,1962.0,Detchd
6,1425,1425,0,490,1425,2,576,10175,7,44,NAmes,1964,272.0,935,2,100.0,0,1964.0,Attchd
8,1739,970,756,649,983,2,480,2645,7,10,Somerst,2000,456.0,321,2,24.0,115,1999.0,Attchd
7,1720,860,860,0,860,2,565,11645,7,2,CollgCr,2004,0.0,860,2,89.0,0,2004.0,Attchd
10,2945,1410,1519,0,1426,3,641,13682,10,0,StoneBr,2006,1031.0,1410,3,66.0,192,2006.0,BuiltIn
5,780,780,0,632,780,1,352,7200,4,36,CollgCr,1972,0.0,148,1,60.0,196,1973.0,Detchd
6,1158,1158,0,941,1158,2,576,13072,5,2,SawyerW,2004,0.0,217,1,63.0,0,2006.0,Detchd
5,1111,530,530,0,581,1,288,7200,6,87,IDOTRR,1996,0.0,530,1,60.0,0,1935.0,Detchd
8,1370,1370,0,24,1370,2,484,6442,6,1,NridgHt,2006,178.0,1346,2,44.0,120,2006.0,Attchd
7,1710,576,808,0,902,2,480,10300,9,89,OldTown,1950,0.0,576,2,50.0,12,1990.0,Detchd
7,2034,1057,977,739,1057,2,645,9375,8,12,CollgCr,1998,573.0,318,2,69.0,576,1998.0,Attchd
8,2473,1143,1330,0,1143,3,852,9591,9,3,NridgHt,2005,344.0,1143,2,76.0,192,2004.0,BuiltIn
7,2207,1947,0,912,2207,2,576,19900,7,40,NAmes,1989,287.0,1035,2,69.0,301,1970.0,Attchd
7,1479,1453,0,1013,1479,2,558,10665,7,4,CollgCr,2003,167.0,440,2,72.0,144,2003.0,Attchd
4,747,747,0,0,747,1,220,4608,4,65,OldTown,1950,0.0,747,1,47.0,0,1945.0,Attchd
7,2287,1304,983,603,1304,2,667,15593,7,53,ClearCr,1953,0.0,701,2,81.0,0,1953.0,Attchd
7,2223,2223,0,1880,2223,2,516,13651,8,34,NAmes,1973,1115.0,343,2,95.0,300,1973.0,Attchd
4,845,845,0,565,845,2,360,7599,4,25,Mitchel,2006,0.0,280,1,69.0,0,1987.0,Detchd
7,1718,832,833,0,885,2,427,10141,7,11,Gilbert,1998,40.0,832,2,74.0,0,1998.0,Attchd
5,1086,1086,0,320,1086,2,490,10200,6,56,NAmes,2003,104.0,404,1,85.0,0,1989.0,Attchd
3,1605,840,765,0,840,1,379,5790,8,95,OldTown,1950,0.0,840,2,60.0,0,1915.0,Detchd
4,988,462,462,462,526,1,297,1596,5,36,MeadowV,1973,0.0,0,1,21.0,120,1973.0,BuiltIn
4,952,952,0,228,952,1,283,8475,4,52,NAmes,1956,0.0,724,1,69.0,0,1956.0,Detchd
5,1285,672,213,336,1072,1,240,8635,6,60,BrkSide,2001,0.0,295,1,50.0,0,1948.0,Detchd
4,1768,1768,0,0,1768,0,0,10778,8,42,Sawyer,1968,0.0,1768,2,72.0,0,1980.0,missing
5,1230,440,548,0,682,2,440,10440,5,99,OldTown,1981,0.0,440,1,60.0,74,1966.0,Detchd
6,2142,896,960,448,1182,1,509,13000,8,41,NAmes,1968,576.0,448,2,100.0,0,1968.0,Attchd
6,1337,1237,0,1201,1337,2,405,4500,5,8,Mitchel,1998,443.0,36,2,32.0,0,1998.0,Attchd
8,1563,1563,0,33,1563,3,758,10206,6,1,Somerst,2007,468.0,1530,2,78.0,144,2007.0,Attchd
5,1065,1065,0,0,1065,2,461,8892,6,47,NAmes,1960,66.0,1065,1,80.0,74,1974.0,Detchd
7,1474,384,670,0,804,2,400,8530,7,14,Gilbert,1996,22.0,384,2,69.0,120,1995.0,BuiltIn
8,2417,1288,1116,0,1301,2,462,16059,9,15,NoRidge,1992,284.0,1288,2,121.0,127,1991.0,Attchd
6,1560,684,876,0,684,2,400,11911,6,4,Gilbert,2005,0.0,684,2,122.0,100,2005.0,BuiltIn
6,1224,612,612,0,612,2,528,3951,4,0,Somerst,2009,76.0,612,2,40.0,0,2009.0,Detchd
3,1526,1013,0,0,1013,0,0,8470,6,94,IDOTRR,1982,0.0,1013,1,105.0,0,1980.0,missing
4,990,990,0,588,990,0,0,8070,5,13,CollgCr,1995,0.0,402,1,60.0,0,1980.0,missing
4,1040,0,0,0,1040,2,420,7200,4,56,NAmes,1950,0.0,0,1,60.0,0,1950.0,Detchd
5,1235,1235,0,600,1235,2,480,8500,6,45,NAmes,1961,203.0,635,1,85.0,0,1961.0,Attchd
5,964,876,0,713,964,2,432,13360,5,88,Crawfor,2006,0.0,163,1,80.0,0,1921.0,Detchd
6,2291,1214,1031,1046,1260,2,506,7200,9,97,OldTown,1998,0.0,168,2,60.0,0,1900.0,Detchd
6,1786,824,881,648,905,2,684,9337,7,10,CollgCr,1997,0.0,176,2,69.0,0,1997.0,Attchd
6,1470,680,790,310,680,2,420,9765,6,16,Gilbert,1993,68.0,370,2,69.0,232,1993.0,BuiltIn
7,1588,1588,0,1162,1588,2,472,10264,6,7,CollgCr,1999,183.0,426,2,78.0,158,1999.0,Attchd
4,960,960,0,520,960,1,432,10921,6,42,Edwards,1965,48.0,440,1,73.0,120,1965.0,Attchd
5,835,458,0,108,835,1,366,10625,5,90,Edwards,1950,0.0,350,1,85.0,0,1920.0,Basment
4,1225,950,0,569,1225,0,0,9320,6,51,NAmes,1959,0.0,381,1,77.0,352,1980.0,missing
6,1610,1610,0,1200,1610,2,480,10603,6,33,NWAmes,2001,28.0,410,2,69.0,168,1977.0,Attchd
6,1732,741,755,0,977,2,476,9206,7,25,SawyerW,1985,336.0,741,2,77.0,192,1985.0,Attchd
5,1535,0,0,0,1535,2,410,7018,8,30,SawyerW,1979,0.0,0,2,64.0,0,1979.0,Attchd
7,1226,1226,0,0,1226,3,740,10402,6,1,CollgCr,2009,0.0,1226,2,94.0,0,2009.0,Attchd
7,1818,1040,592,224,1226,1,240,7758,7,76,IDOTRR,1950,600.0,816,1,69.0,0,1951.0,Detchd
8,1992,1053,939,0,1053,2,648,9375,9,5,Somerst,2004,768.0,1053,2,75.0,140,2003.0,Attchd
4,1047,641,0,0,1047,1,273,10800,6,122,OldTown,1995,0.0,641,1,60.0,0,1954.0,Detchd
5,789,789,0,104,789,1,250,6000,5,60,OldTown,1950,0.0,516,1,50.0,0,1948.0,Detchd
5,1517,793,520,0,997,0,0,8500,7,88,IDOTRR,2005,0.0,793,2,85.0,0,1980.0,missing
6,1844,1844,0,705,1844,2,546,11751,7,33,NWAmes,1977,480.0,1139,2,105.0,0,1977.0,Attchd
6,1855,994,639,444,1216,1,325,9525,7,52,Edwards,1972,0.0,550,2,75.0,182,1954.0,Attchd
7,1430,384,656,250,774,2,400,7750,7,10,Gilbert,2000,0.0,134,2,69.0,180,2000.0,BuiltIn
7,2696,1264,1414,984,1282,3,792,9965,10,0,CollgCr,2007,220.0,280,2,77.0,120,2007.0,BuiltIn
6,2259,1809,0,35,2259,2,450,21000,7,54,Crawfor,1953,184.0,905,2,69.0,166,1953.0,Basment
6,2320,1028,884,774,1436,1,180,7259,9,62,Crawfor,2002,0.0,104,2,61.0,224,1945.0,Detchd
6,1458,729,729,419,729,2,440,3230,5,8,Somerst,1999,1129.0,310,2,34.0,0,1999.0,Detchd
5,1092,1092,0,170,1092,1,288,11616,6,47,Sawyer,1962,116.0,252,1,69.0,0,1962.0,Attchd
5,1125,1125,0,0,1125,2,430,8536,5,1,Edwards,2007,0.0,1125,1,74.0,80,2007.0,Attchd
7,3222,1673,1523,1470,1699,3,594,12376,11,20,SawyerW,1990,0.0,203,3,90.0,367,1990.0,Attchd
6,1456,728,728,0,728,2,390,8461,8,1,CollgCr,2006,0.0,728,2,65.0,0,2005.0,Attchd
6,988,938,0,938,988,2,540,21453,4,37,ClearCr,1969,0.0,0,1,69.0,0,1969.0,Attchd
4,1123,732,351,0,772,1,264,6060,4,68,IDOTRR,1950,0.0,732,1,50.0,0,1979.0,Detchd
